title,index_show,badge,follow,play,score,is_finish,media_id,cover
暗芝居 第五季,全13话,会员专享,19.7万人追番,653.1万次播放,8.5分,1,6346,http://i0.hdslb.com/bfs/bangumi/72d4cd72abb03962a42ecd261c6bf44b5ce86a03.jpg
魔法少女什么的已经够了啦。,全12话,免费观看,14.8万人追番,449.9万次播放,8.5分,1,3126,http://i0.hdslb.com/bfs/bangumi/6b4e9290d166e2250ff1e7f4f5924add97ddab38.jpg
动画同好会,全13话,免费观看,30.7万人追番,339.1万次播放,8.5分,1,6441,http://i0.hdslb.com/bfs/bangumi/eedc92d3b4f0ec4b26be6a8236f6070e465046a0.jpg
Regalia 三圣星,全13话,免费观看,25.1万人追番,326.1万次播放,8.5分,1,5041,http://i0.hdslb.com/bfs/bangumi/6b9897aac3417d02a5e305f24d3499735194cc9b.jpg
罪恶王冠,全22话,免费观看,178.2万人追番,2700.6万次播放,8.5分,1,1588,http://i0.hdslb.com/bfs/bangumi/7ec9487f007c278733212908a6f607e4a245b1d4.jpg
Four of a Kind 四牌士,全26话,会员专享,1.6万人追番,27.7万次播放,8.5分,1,79352,http://i0.hdslb.com/bfs/bangumi/a84652b8c87ad2289240304749142b05074fa3bd.png
18if 梦境异闻录,全13话,免费观看,23.4万人追番,240.1万次播放,8.5分,1,6319,http://i0.hdslb.com/bfs/bangumi/910124f06043ec2541e02217b4019080befe6afd.jpg
刃牙,更新至第23话,会员抢先,40.5万人追番,2174.6万次播放,8.5分,0,102672,http://i0.hdslb.com/bfs/bangumi/7864ddcae57b4859d4392614861bd5d5ee7a88e2.png
AIR 剧场版,全1话,免费观看,2.7万人追番,20.6万次播放,8.5分,1,3783,http://i0.hdslb.com/bfs/bangumi/b7d9f6ce8812046b6ebc7882e21cb3f87fc2c78c.png
暗芝居 第六季,全13话,会员专享,12.9万人追番,190.7万次播放,8.5分,1,103092,http://i0.hdslb.com/bfs/bangumi/7a18f066199cd84191a67d9317dc4a144780d0f1.jpg
欢迎来到实力至上主义的教室,全12话,免费观看,419.9万人追番,9608.2万次播放,8.4分,1,6339,http://i0.hdslb.com/bfs/bangumi/a79e331b7443ed5df5a2acd345dc41d598d46ff9.jpg
裁断分离之罪恶剪刀,全13话,免费观看,9.1万人追番,60.7万次播放,8.4分,1,4442,http://i0.hdslb.com/bfs/bangumi/2a4822e3b90f5d15f3faf8d10f807095ffabc02d.jpg
早安恋味糕点店,全24话,免费观看,7.5万人追番,58.7万次播放,8.4分,1,3070,http://i0.hdslb.com/bfs/bangumi/22368520439c934655930159562523b2b738dac3.jpg
約會大作戰 第二季 （僅限港澳台地區）,全10话,免费观看,27.2万人追番,39.3万次播放,8.4分,1,4187,http://i0.hdslb.com/bfs/bangumi/e4bcaeae56eee78a72319a2e28f119665c12e590.jpg
覆面系 NOISE,全12话,免费观看,29.1万人追番,386万次播放,8.4分,1,5981,http://i0.hdslb.com/bfs/bangumi/232c8fa886486d8a555787af736f252282363ba3.jpg
笑面推销员NEW,全12话,免费观看,21万人追番,384.2万次播放,8.4分,1,5951,http://i0.hdslb.com/bfs/bangumi/729b0d949dc9ada33b11b54e99d6b42537c2045c.jpg
pop子和pipi美的日常,全12话,免费观看,133.6万人追番,2937.6万次播放,8.4分,1,11712,http://i0.hdslb.com/bfs/bangumi/35d8ddfa7536215775539a16e5f438756566a7ea.jpg
精灵宝可梦XY&Z,全49话,免费观看,6.3万人追番,222.9万次播放,8.4分,1,5692,http://i0.hdslb.com/bfs/bangumi/17d8a4ac6cc3c8b8ee3925d5c5f9760f3b1d8895.jpg
如果她的旗帜被折断了,全13话,免费观看,24.4万人追番,212.2万次播放,8.4分,1,4201,http://i0.hdslb.com/bfs/bangumi/ede5785c229811b13377b87d51b3981365b128a6.jpg
破刃之剑,全12话,免费观看,6.4万人追番,20.6万次播放,8.4分,1,3807,http://i0.hdslb.com/bfs/bangumi/a641ec1e93a1ce2917e81e9bb7a92f3d270c2765.jpg
对魔导学园35试验小队,全12话,免费观看,60.6万人追番,1748.9万次播放,8.4分,1,2724,http://i0.hdslb.com/bfs/bangumi/23ffac3faaadddedbb8ef47b84329946d306174f.jpg
